,residuos,residuos_especiales,agua,energia,conciencia,label
48,1.0,0.5,0.5,1.0,0.5,1
49,1.0,0.0,0.0,1.0,1.0,1
50,1.0,0.0,0.0,0.5,1.0,1
51,1.0,0.5,1.0,1.0,1.0,0
52,1.0,1.0,0.0,0.5,0.5,2
53,1.0,0.0,0.5,0.0,0.5,2
54,1.0,0.5,0.0,0.0,1.0,2
55,1.0,0.5,0.0,0.0,1.0,2
56,1.0,0.0,0.5,1.0,0.5,1
57,1.0,0.5,0.5,0.0,0.0,2
58,1.0,0.5,0.5,1.0,0.5,1
59,1.0,0.5,0.5,0.5,0.5,0
60,0.5,0.5,0.0,0.5,0.5,2
61,0.0,0.0,0.0,0.0,0.5,2
62,0.5,0.5,1.0,0.0,1.0,0
63,0.0,0.5,0.5,1.0,0.5,1
64,1.0,0.0,1.0,0.0,1.0,0
65,0.0,0.0,1.0,1.0,1.0,0
66,0.5,0.0,1.0,0.0,0.5,0
67,0.0,0.0,0.0,0.0,1.0,2
68,0.5,0.0,1.0,1.0,1.0,0
69,1.0,0.0,0.5,0.0,0.5,2
70,1.0,0.0,1.0,1.0,1.0,0
71,1.0,0.5,0.0,1.0,1.0,1
72,0.0,0.5,1.0,0.5,1.0,0
73,1.0,1.0,0.0,0.0,1.0,2
74,1.0,1.0,1.0,1.0,1.0,0
75,0.0,0.5,1.0,0.0,1.0,0
76,0.0,0.5,1.0,1.0,1.0,0
77,0.0,1.0,1.0,0.0,1.0,0
78,0.0,1.0,0.5,1.0,1.0,1
79,0.0,0.5,0.5,0.0,1.0,2
80,0.0,0.5,1.0,1.0,1.0,0
81,0.0,0.5,0.0,0.5,1.0,1
82,1.0,0.5,1.0,1.0,1.0,0
83,0.5,0.5,1.0,0.0,1.0,0
84,1.0,0.0,0.0,1.0,0.5,1
85,1.0,0.0,0.0,1.0,1.0,1
86,1.0,0.0,1.0,1.0,1.0,0
87,1.0,0.0,1.0,1.0,1.0,0
88,0.0,0.0,0.0,0.0,1.0,2
89,1.0,0.0,0.5,1.0,1.0,1
90,1.0,0.5,1.0,0.5,1.0,0
91,0.5,0.0,1.0,0.5,0.5,0
92,1.0,0.5,1.0,0.5,0.0,0
93,1.0,0.5,1.0,1.0,1.0,0
94,0.5,0.0,0.0,1.0,0.0,1
95,0.5,0.5,0.5,0.0,0.5,2
96,1.0,1.0,1.0,0.5,0.5,0
97,1.0,0.5,0.5,0.5,0.0,2
98,0.0,0.5,1.0,0.0,0.5,0
99,1.0,0.0,1.0,0.5,0.5,0
100,0.5,0.0,0.5,0.0,1.0,2
101,0.5,0.0,0.0,0.0,1.0,2
102,0.5,0.5,0.0,0.0,0.5,2
103,0.0,1.0,0.5,0.0,0.5,2
104,0.0,0.0,0.5,1.0,1.0,1
105,0.5,0.5,0.5,1.0,1.0,1
106,1.0,0.0,0.5,1.0,1.0,1
107,1.0,0.0,0.5,1.0,1.0,1
108,0.0,0.5,0.5,0.0,1.0,2
109,0.5,0.0,0.5,1.0,1.0,1
110,0.0,0.5,1.0,0.5,0.5,0
111,0.0,0.0,1.0,0.0,0.5,0
112,0.0,0.0,0.0,0.0,0.5,2
113,1.0,0.0,1.0,1.0,1.0,0
114,0.5,0.0,0.0,0.0,1.0,2
115,0.0,0.0,0.0,0.0,1.0,2
116,0.0,1.0,1.0,0.5,0.0,0
117,0.0,0.0,0.0,1.0,0.0,1
118,0.5,1.0,1.0,1.0,0.0,0
119,0.0,0.5,0.0,0.0,0.5,2
120,0.5,0.0,1.0,1.0,1.0,0
121,0.5,0.0,1.0,0.0,0.0,0
122,0.5,0.0,0.0,0.0,1.0,2
123,1.0,0.0,0.5,0.0,1.0,2
124,0.0,0.5,0.0,0.0,0.0,2
125,1.0,0.5,0.0,0.5,0.5,2
126,1.0,0.0,0.0,0.0,1.0,2
127,1.0,0.0,0.0,1.0,0.5,1
128,0.0,0.5,0.0,0.0,1.0,2
129,1.0,0.5,1.0,1.0,0.5,0
130,0.0,0.5,0.0,0.0,1.0,2
131,0.0,0.5,0.0,0.5,1.0,1
