Unnamed: 0,area,ciudad,zona,residuos,residuos_especiales,agua,energia,conciencia,final
125,urbana,10150,CUENCA,1.0,0.5,0.0,0.5,0.5,2
126,urbana,10150,CUENCA,1.0,0.0,0.0,0.0,1.0,2
127,urbana,10150,CUENCA,1.0,0.0,0.0,1.0,0.5,1
128,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,1.0,2
129,urbana,10150,CUENCA,1.0,0.5,1.0,1.0,0.5,0
130,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,1.0,2
131,urbana,10150,CUENCA,0.0,0.5,0.0,0.5,1.0,1
132,urbana,10150,CUENCA,0.0,0.0,1.0,0.0,0.5,0
133,urbana,10150,CUENCA,0.0,0.0,1.0,0.0,0.5,0
134,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,0.5,2
135,urbana,10150,CUENCA,0.0,0.0,0.0,1.0,0.5,1
136,urbana,10150,CUENCA,0.0,1.0,0.5,0.0,0.5,2
137,urbana,10150,CUENCA,0.0,0.0,0.5,0.0,0.5,2
138,urbana,10150,CUENCA,0.0,0.0,1.0,1.0,1.0,0
139,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,0.5,2
140,urbana,10150,CUENCA,0.0,0.5,1.0,0.0,0.5,0
141,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,0.5,2
142,urbana,10150,CUENCA,0.0,0.0,0.5,0.0,0.5,2
143,urbana,10150,CUENCA,0.0,0.5,0.5,0.0,0.5,2
144,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,0.5,2
145,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,1.0,2
146,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,1.0,2
147,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,1.0,2
148,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,0.5,2
149,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,0.5,2
150,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,1.0,2
151,urbana,10150,CUENCA,0.5,0.0,1.0,1.0,1.0,0
152,urbana,10150,CUENCA,0.5,0.0,1.0,1.0,0.0,0
153,urbana,10150,CUENCA,1.0,0.0,1.0,1.0,1.0,0
154,urbana,10150,CUENCA,1.0,0.0,1.0,0.0,0.5,0
155,urbana,10150,CUENCA,1.0,0.0,1.0,1.0,1.0,0
156,urbana,10150,CUENCA,1.0,0.0,0.5,0.5,0.5,0
157,urbana,10150,CUENCA,1.0,0.5,1.0,1.0,0.0,0
158,urbana,10150,CUENCA,1.0,0.0,0.0,1.0,1.0,1
159,urbana,10150,CUENCA,1.0,0.5,1.0,0.0,0.0,0
160,urbana,10150,CUENCA,1.0,0.0,0.0,0.5,0.5,1
161,urbana,10150,CUENCA,1.0,0.5,1.0,0.0,1.0,0
162,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,1.0,2
163,urbana,10150,CUENCA,1.0,0.5,0.0,1.0,1.0,1
164,urbana,10150,CUENCA,0.5,0.0,1.0,1.0,0.5,0
165,urbana,10150,CUENCA,0.5,0.0,0.0,0.0,0.5,2
166,urbana,10150,CUENCA,0.0,0.5,1.0,0.5,0.0,0
167,urbana,10150,CUENCA,0.5,0.0,0.5,0.0,1.0,2
168,urbana,10150,CUENCA,0.5,0.0,0.0,1.0,1.0,1
169,urbana,10150,CUENCA,0.5,0.0,0.5,1.0,0.5,1
170,urbana,10150,CUENCA,0.0,0.0,1.0,1.0,0.5,0
171,urbana,10150,CUENCA,1.0,0.0,0.0,0.0,0.5,2
172,urbana,10150,CUENCA,0.5,0.0,1.0,1.0,0.5,0
173,urbana,10150,CUENCA,1.0,0.5,0.5,0.0,0.5,2
174,urbana,10150,CUENCA,0.5,0.5,0.0,0.5,0.5,2
175,urbana,10150,CUENCA,1.0,0.0,0.5,0.5,1.0,0
176,urbana,10150,CUENCA,1.0,0.0,1.0,0.0,0.5,0
177,urbana,10150,CUENCA,0.5,0.5,1.0,1.0,0.5,0
178,urbana,10150,CUENCA,1.0,0.5,0.5,1.0,1.0,1
179,urbana,10150,CUENCA,0.0,0.0,1.0,0.0,0.5,0
180,urbana,10150,CUENCA,0.0,0.5,0.5,0.5,1.0,1
181,urbana,10150,CUENCA,0.0,0.0,0.5,1.0,0.5,1
182,urbana,10150,CUENCA,1.0,0.5,0.0,0.5,1.0,1
183,urbana,10150,CUENCA,0.0,0.0,0.0,0.5,1.0,1
184,urbana,10150,CUENCA,0.0,0.0,0.0,0.5,1.0,1
185,urbana,10150,CUENCA,0.0,0.0,0.0,0.5,1.0,1
186,urbana,10150,CUENCA,0.5,0.5,1.0,0.0,1.0,0
187,urbana,10150,CUENCA,1.0,0.5,0.0,0.5,0.0,2
188,urbana,10150,CUENCA,1.0,1.0,1.0,1.0,0.5,0
189,urbana,10150,CUENCA,1.0,0.5,0.5,0.5,0.0,2
190,urbana,10150,CUENCA,1.0,0.5,0.5,0.5,0.0,2
191,urbana,10150,CUENCA,0.0,0.5,0.0,1.0,1.0,1
192,urbana,10150,CUENCA,1.0,0.5,1.0,0.0,0.5,0
193,urbana,10150,CUENCA,1.0,0.5,0.5,1.0,0.0,1
194,urbana,10150,CUENCA,0.5,0.0,1.0,0.5,0.5,0
195,urbana,10150,CUENCA,0.0,0.0,1.0,1.0,0.5,0
196,urbana,10150,CUENCA,1.0,0.0,0.0,1.0,1.0,1
197,urbana,10150,CUENCA,0.0,0.0,0.0,0.5,0.0,2
198,urbana,10150,CUENCA,0.5,0.0,0.0,1.0,0.5,1
199,urbana,10150,CUENCA,0.0,0.0,1.0,1.0,0.0,0
200,urbana,10150,CUENCA,0.0,0.0,1.0,0.5,0.0,0
201,urbana,10150,CUENCA,0.0,0.0,0.5,0.0,0.5,2
202,urbana,10150,CUENCA,1.0,0.0,0.5,1.0,1.0,1
203,urbana,10150,CUENCA,0.0,0.0,0.5,0.0,0.5,2
204,urbana,10150,CUENCA,1.0,0.5,0.0,0.0,1.0,2
205,urbana,10150,CUENCA,1.0,0.5,0.0,0.5,0.5,2
206,urbana,10150,CUENCA,1.0,0.0,0.5,0.0,0.5,2
207,urbana,10150,CUENCA,0.0,0.0,0.0,1.0,1.0,1
208,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,1.0,2
209,urbana,10150,CUENCA,0.0,0.0,1.0,0.0,1.0,0
210,urbana,10150,CUENCA,0.0,0.0,0.5,1.0,1.0,1
211,urbana,10150,CUENCA,0.0,0.0,0.5,0.0,1.0,2
212,urbana,10150,CUENCA,1.0,0.5,1.0,0.5,1.0,0
213,urbana,10150,CUENCA,0.5,0.5,0.5,0.0,1.0,2
214,urbana,10150,CUENCA,0.0,0.0,0.0,1.0,0.5,1
215,urbana,10150,CUENCA,1.0,0.0,0.0,0.5,1.0,1
216,urbana,10150,CUENCA,0.0,0.0,1.0,0.5,1.0,0
217,urbana,10150,CUENCA,0.0,0.0,0.0,1.0,1.0,1
218,urbana,10150,CUENCA,0.0,0.0,0.5,1.0,1.0,1
219,urbana,10150,CUENCA,0.0,0.0,0.0,1.0,1.0,1
220,rural,10151,BAÑOS,1.0,0.0,0.5,0.5,1.0,0
221,rural,10151,BAÑOS,0.5,0.0,0.5,0.5,0.5,2
222,rural,10151,BAÑOS,0.0,1.0,0.0,0.0,1.0,2
223,rural,10151,BAÑOS,1.0,0.5,0.5,1.0,0.5,1
224,rural,10151,BAÑOS,1.0,0.5,0.5,0.5,0.5,0
225,rural,10151,BAÑOS,1.0,0.0,1.0,0.0,0.5,0
226,rural,10151,BAÑOS,1.0,0.0,0.5,0.0,0.5,2
227,rural,10151,BAÑOS,0.5,0.5,0.5,0.5,1.0,1
