valor,categoria
111150,SARAGURO
111151,EL PARAISO DE CELEN
111152,EL TABLON
111153,LLUZHAPA
111154,MANU
111155,SAN ANTONIO DE QUMBE (CUM
111156,SAN PABLO DE TENTA
111157,SAN SEBASTIAN DE YULUC
111158,SELVA ALEGRE
111159,URDANETA (PAQUISHAPA)
111160,SUMAYPAMBA
111250,SOZORANGA CABECERA
111251,NUEVA FATIMA
111252,TACAMOROS
111350,ZAPOTILLO
111351,CAZADEROS (CAB.EN MANGA-
111352,GARZAREAL
111353,LIMONES
111354,PALETILLAS
111355,BOLASPAMBA
111450,PINDAL
111451,CHAQUINAL
111452,12 DE DICIEMBRE (CABECERA
111550,QUILANGA
111551,FUNDOCHAMBA
111552,SAN ANTONIO DE LAS ARADAS
111650,OLMEDO
111651,LA TINGUE
120150,BABAHOYO
120152,CARACOL
120153,FEBRES CORDERO (LAS JUNTA
120154,PIMOCHA
120155,LA UNION
120250,BABA
120251,GUARE
120252,ISLA DE BEJUCAL
120350,MONTALVO
120450,PUEBLOVIEJO
120451,PUERTO PECHICHE
120452,SAN JUAN
120550,QUEVEDO
120553,SAN CARLOS
120555,LA ESPERANZA
120650,CATARAMA
120651,RICAURTE
120750,VENTANAS
120751,QUINSALOMA
120752,ZAPOTAL
120850,VINCES
120851,ANTONIO SOTOMAYOR
120950,PALENQUE
121050,SAN JACINTO DE BUENA FE
121051,PATRICIA PILAR
121150,VALENCIA
121250,MOCACHE
121350,QUINSALOMA
130150,PORTOVIEJO
130151,ABDON CALDERON (SAN FRANC
130152,ALHAJUELA (BAJO GRANDE)
130153,CRUCITA
130154,PUEBLO NUEVO
130155,RIOCHICO (RIO CHICO)
130156,SAN PLACIDO
130157,CHIRIJOS
130250,CALCETA
130251,MEMBRILLO
130252,QUIROGA
130350,CHONE
130351,BOYACA
130352,CANUTO
130353,CONVENTO
130354,CHIBUNGA
130355,ELOY ALFARO
130356,RICAURTE
130357,SAN ANTONIO
130450,EL CARMEN
130451,WILFRIDO LOOR MOREIRA
130452,SAN PEDRO DE SUMA
130550,FLAVIO ALFARO
130551,SAN FRANCISCO DE NOVILLO
130552,ZAPALLO
130650,JIPIJAPA
130651,AMERICA
130652,EL ANEGADO (CABECERA)
130653,JULCUY
130654,LA UNION
130656,MEMBRILLAL
130657,PEDRO PABLO GOMEZ
130658,PUERTO DE CAYO
130750,JUNIN
130850,MANTA
130851,SAN LORENZO
130852,SANTA MARIANITA
130950,MONTECRISTI
130952,LA PILA
131050,PAJAN
131051,CAMPOZANO (LA PALMA DE PA
131052,CASCOL
131053,GUALE
131054,LASCANO
131150,PICHINCHA
131151,BARRAGANETE
131152,SAN SEBASTIAN
131250,ROCAFUERTE
131350,SANTA ANA DE VUELTA LARGA
131351,AYACUCHO
131352,HONORATO VASQUEZ (CABECER
131353,LA UNION
131355,SAN PABLO (CABECERA)
131450,BAHIA DE CARAQUEZ
131453,CHARAPOTO
131457,SAN ISIDRO
131550,TOSAGUA
131551,BACHILLERO
131552,ANGEL PEDRO G. (LA ESTANC
131650,SUCRE
131651,BELLAVISTA
131652,NOBOA
131653,ARQ. SIXTO DURAN BALLEN
131750,PEDERNALES
131751,COJIMIES
131752,10 DE AGOSTO
131753,ATAHUALPA
131850,OLMEDO
131950,PUERTO LOPEZ
131951,MACHALILLA
131952,SALANGO
132050,JAMA (CABECERA CANTONAL)
132150,JARAMIJO (CABECERA CANTON
132250,SAN VICENTE
132251,CANOA
140150,MACAS
140151,ALSHI (CAB. EN 9 DE OCTUB
140153,GENERAL PROAÑO
140156,SAN ISIDRO
140157,SEVILLA DON BOSCO
140158,SINAI
140160,ZUÑA (ZUÑAC)
140162,CUCHAENTZA
140164,RIO BLANCO
140250,GUALAQUIZA
140251,AMAZONAS (ROSARIO DE CUYE
140252,BERMEJOS
140253,BOMBOIZA
140254,CHIGUINDA
140255,EL ROSARIO
140256,NUEVA TARQUI
140257,SAN MIGUEL DE CUYES
140258,EL IDEAL
140350,GENERAL LEONIDAS PLAZA G.
140351,INDANZA
140353,SAN ANTONIO (CAB. EN SAN
140356,SAN MIGUEL DE CONCHAY
140357,SANTA SUSANA DE CHIVIAZA
140358,YUNGANZA (CAB. EN EL ROSA
140450,PALORA (METZERA)
140451,ARAPICOS
140452,CUMANDA (CAB. EN COLONIA
140454,SANGAY (CAB. EN NAYAMANAC
140455,16 DE AGOSTO
140550,SANTIAGO DE MENDEZ
140551,COPAL
140552,CHUPIANZA
140553,PATUCA
140554,SAN LUIS DE EL ACHO (CABE
140556,TAYUZA
140557,SAN FRANCISCO DE CHINIMBI
140650,SUCUA
140651,ASUNCION
140652,HUAMBI
140655,SANTA MARIANITA DE JESUS
140750,HUAMBOYA
140751,CHIGUAZA
140850,SAN JUAN BOSCO
140851,PAN DE AZUCAR
140852,SAN CARLOS DE LIMON
140853,SAN JACINTO DE WAKAMBEIS
140854,SANTIAGO DE PANANZA
140950,TAISHA
140951,HUASAGA(CAB. WAMPUIK)
140952,MACUMA
140953,TUUTINENTZA
140954,PUMPUENTSA
141050,LOGROÑO
141051,YAUPI
141052,SHIMPIS
141150,PABLO VI
141250,SANTIAGO
141251,SAN JOSE DE MORONA
150150,TENA
150151,AHUANO
150153,CHONTAPUNTA
150154,PANO
150155,PUERTO MISAHUALLI
150156,PUERTO NAPO
150157,TALAG
150350,ARCHIDONA
150352,COTUNDO
150354,SAN PABLO DE USHPAYACU
150450,EL CHACO
150451,GONZALO DIAZ DE PINEDA
150452,LINARES
150453,OYACACHI
150454,SANTA ROSA
150455,SARDINAS
150750,BAEZA
150751,COSANGA
150752,CUYUJA
150753,PAPALLACTA
150754,SAN FRANCISCO DE BORJA
150756,SUMACO
